year,selling_price,km_driven,mileage,engine,max_power,torque,max_torque_rpm,year2,m/m,name_BMW,name_Chevrolet,name_Ford,name_Honda,name_Hyundai,name_Mahindra,name_Maruti,name_Nissan,name_Rare,name_Renault,name_Skoda,name_Tata,name_Toyota,name_Volkswagen,fuel_CNG,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Automatic,transmission_Manual,owner_First Owner,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner,seats_4,seats_5,seats_7,seats_8,seats_Rare
2014,13.017002861746503,145500,23.4,1248,74.0,190.0,2000.0,4056196,17.316,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2014,12.821258284620408,120000,21.14,1498,103.52,250.0,2500.0,4056196,21.884128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2010,12.323855681186558,127000,23.0,1396,90.0,219.66895999999997,2750.0,4040100,20.700000000000003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2007,11.77528972943772,120000,16.1,1298,88.2,11.5,4500.0,4028049,14.200200000000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2017,12.994530005894443,45000,20.14,1197,81.86,113.75,4000.0,4068289,16.486604,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2007,11.472103470449973,175000,17.3,1061,57.5,7.8,4500.0,4028049,9.947500000000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2001,10.714417768752456,5000,16.1,796,37.0,59.0,2500.0,4004001,5.957000000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
2011,12.765688433465597,90000,23.59,1364,67.1,170.0,2400.0,4044121,15.82889,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2013,12.206072645530174,169000,20.0,1399,68.1,160.0,2000.0,4052169,13.62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2014,13.122363377404328,68000,19.01,1461,108.45,248.0,2250.0,4056196,20.616345000000003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2005,11.429543856031177,100000,17.3,993,60.0,78.0,4500.0,4020025,10.38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2009,12.542544882151386,140000,19.3,1248,73.9,190.0,2000.0,4036081,14.262700000000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2007,12.206072645530174,80000,19.369999999999997,1248,81.86,160.0,3000.0,4028049,15.856281999999998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2009,12.100712129872347,90000,18.9,1061,67.0,84.0,3500.0,4036081,12.663,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2016,12.89921982609012,40000,18.15,1198,82.0,115.0,3600.0,4064256,14.883,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2012,13.122363377404328,53000,23.0,1396,90.0,219.66895999999997,2750.0,4048144,20.700000000000003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2002,11.918390573078392,80000,19.7,796,46.3,62.0,3000.0,4008004,9.121099999999998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2016,13.42984807715229,100000,22.54,1396,88.73,219.7,2750.0,4064256,19.999742,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2011,12.066810578196666,100000,21.0,1461,64.1,160.0,2000.0,4044121,13.460999999999999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2017,13.764217263576723,50000,25.5,1498,98.6,200.0,1750.0,4068289,25.143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2015,13.17115354157376,40000,26.59,1248,74.0,190.0,2000.0,4060225,19.6766,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2012,13.304684934198283,72000,21.5,1248,88.8,200.0,1750.0,4048144,19.092,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2016,13.262125319779487,45000,21.4,1197,83.1,115.0,4000.0,4064256,17.783399999999997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2017,12.524526376648708,28000,24.7,796,47.3,69.0,3500.0,4068289,11.6831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2013,12.611537753638338,70000,18.2,1248,73.8,172.5,1750.0,4052169,13.4316,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
